time_sec,f0_hz,midi,confidence
0.000000,948.542,82.298,0.306
0.011610,955.544,82.426,0.325
0.023220,944.358,82.222,0.340
0.034830,942.631,82.190,0.351
0.046440,941.853,82.176,0.360
0.058050,962.499,82.551,0.349
0.069660,970.729,82.699,0.335
0.081270,642.143,75.545,0.317
0.092880,644.666,75.613,0.311
0.104490,342.722,64.674,0.306
0.116100,342.991,64.688,0.298
0.127710,343.378,64.708,0.297
0.139320,118.208,46.246,0.299
0.150930,118.152,46.238,0.291
0.162540,118.112,46.232,0.285
0.174150,1002.273,83.252,0.279
0.185760,1002.273,83.252,0.277
0.197370,1002.273,83.252,0.267
0.208980,1002.273,83.252,0.266
0.220590,1002.273,83.252,0.257
0.232200,1002.273,83.252,0.251
0.243810,1002.273,83.252,0.244
0.255420,1002.273,83.252,0.241
0.267029,1002.273,83.252,0.237
0.278639,1002.273,83.252,0.228
0.290249,1002.273,83.252,0.226
0.301859,1002.273,83.252,0.216
0.313469,1002.273,83.252,0.209
0.325079,1002.273,83.252,0.195
0.336689,1002.273,83.252,0.180
0.348299,1002.273,83.252,0.167
0.359909,1002.273,83.252,0.154
0.371519,1002.273,83.252,0.131
0.383129,1002.273,83.252,0.104
0.394739,1002.273,83.252,0.081
0.406349,1002.273,83.252,0.052
0.417959,1002.273,83.252,0.024
0.429569,,,0.000
0.441179,,,0.000
0.452789,,,0.000
0.464399,,,0.000
0.476009,,,0.000
0.487619,,,0.000
0.499229,,,0.000
0.510839,961.298,82.530,0.034
0.522449,1002.273,83.252,0.130
0.534059,1002.273,83.252,0.176
0.545669,1002.273,83.252,0.218
0.557279,343.395,64.708,0.255
0.568889,342.915,64.684,0.283
0.580499,342.828,64.680,0.319
0.592109,343.240,64.701,0.353
0.603719,753.053,78.303,0.385
0.615329,172.793,52.818,0.406
0.626939,222.992,57.234,0.439
0.638549,93.831,42.248,0.461
0.650159,124.686,47.170,0.488
0.661769,124.691,47.170,0.512
0.673379,124.654,47.165,0.527
0.684989,124.670,47.167,0.533
0.696599,841.322,80.222,0.535
0.708209,843.787,80.273,0.537
0.719819,849.955,80.399,0.526
0.731429,858.510,80.572,0.514
0.743039,867.909,80.760,0.490
0.754649,851.960,80.439,0.454
0.766259,208.260,56.051,0.410
0.777868,876.527,80.932,0.366
0.789478,886.481,81.127,0.313
0.801088,87.659,41.070,0.218
0.812698,243.479,58.756,0.128
0.824308,89.171,41.366,0.003
0.835918,,,0.000
0.847528,,,0.000
0.859138,89.349,41.400,0.109
0.870748,913.261,81.642,0.256
0.882358,319.283,63.448,0.362
0.893968,332.745,64.163,0.582
0.905578,302.673,62.523,0.624
0.917188,281.139,61.245,0.667
0.928798,262.301,60.045,0.722
0.940408,261.441,59.988,0.767
0.952018,260.640,59.935,0.786
0.963628,260.404,59.919,0.796
0.975238,259.320,59.847,0.803
0.986848,248.585,59.115,0.793
0.998458,247.948,59.070,0.791
1.010068,246.626,58.978,0.783
1.021678,244.176,58.805,0.761
1.033288,241.977,58.648,0.723
1.044898,241.167,58.590,0.694
