time_sec,f0_hz,midi,confidence
0.000000,919.955,81.769,0.312
0.011610,918.073,81.733,0.328
0.023220,917.973,81.731,0.343
0.034830,914.607,81.668,0.356
0.046440,608.514,74.613,0.367
0.058050,325.010,63.756,0.357
0.069660,118.637,46.309,0.346
0.081270,339.130,64.492,0.344
0.092880,340.983,64.586,0.342
0.104490,341.364,64.606,0.346
0.116100,341.689,64.622,0.350
0.127710,512.350,71.636,0.353
0.139320,917.549,81.723,0.359
0.150930,922.182,81.811,0.363
0.162540,517.957,71.824,0.365
0.174150,516.915,71.789,0.364
0.185760,204.572,55.741,0.363
0.197370,204.636,55.747,0.359
0.208980,204.616,55.745,0.354
0.220590,204.803,55.761,0.344
0.232200,204.764,55.757,0.327
0.243810,141.785,49.394,0.301
0.255420,81.987,39.912,0.268
0.267029,85.445,40.627,0.235
0.278639,764.129,78.556,0.246
0.290249,814.129,79.653,0.334
0.301859,528.006,72.157,0.488
0.313469,517.693,71.815,0.605
0.325079,515.185,71.731,0.674
0.336689,520.488,71.908,0.731
0.348299,517.455,71.807,0.752
0.359909,514.960,71.723,0.768
0.371519,267.611,60.392,0.790
0.383129,145.126,49.798,0.811
0.394739,145.628,49.857,0.822
0.406349,145.690,49.865,0.826
0.417959,146.173,49.922,0.830
0.429569,294.363,62.041,0.826
0.441179,295.038,62.081,0.834
0.452789,294.477,62.048,0.844
0.464399,294.081,62.025,0.846
0.476009,293.945,62.017,0.847
0.487619,293.766,62.006,0.848
0.499229,293.635,61.998,0.847
0.510839,293.315,61.979,0.846
0.522449,293.268,61.977,0.842
0.534059,293.311,61.979,0.840
0.545669,293.136,61.969,0.830
0.557279,292.742,61.946,0.823
0.568889,292.676,61.942,0.817
0.580499,292.971,61.959,0.814
0.592109,294.046,62.022,0.816
0.603719,312.643,63.084,0.822
0.615329,324.955,63.753,0.836
0.626939,328.548,63.943,0.848
0.638549,329.008,63.967,0.863
0.650159,329.181,63.977,0.875
0.661769,329.270,63.981,0.883
0.673379,329.363,63.986,0.892
0.684989,329.433,63.990,0.896
0.696599,329.634,64.000,0.897
0.708209,329.683,64.003,0.896
0.719819,329.687,64.003,0.894
0.731429,329.696,64.004,0.894
0.743039,329.536,63.995,0.893
0.754649,329.431,63.990,0.885
0.766259,329.457,63.991,0.871
0.777868,329.469,63.992,0.852
0.789478,329.216,63.978,0.831
0.801088,328.853,63.959,0.807
0.812698,328.017,63.915,0.773
0.824308,327.975,63.913,0.745
0.835918,329.842,64.011,0.712
0.847528,330.808,64.062,0.709
0.859138,332.396,64.145,0.723
0.870748,333.750,64.215,0.741
0.882358,335.107,64.285,0.756
0.893968,336.639,64.364,0.765
0.905578,339.141,64.493,0.782
0.917188,341.272,64.601,0.786
0.928798,368.787,65.943,0.784
0.940408,370.138,66.007,0.782
0.952018,372.975,66.139,0.790
0.963628,185.416,54.039,0.803
0.975238,185.303,54.029,0.815
0.986848,375.916,66.275,0.821
0.998458,377.082,66.328,0.822
1.010068,377.594,66.352,0.823
1.021678,399.818,67.342,0.835
1.033288,400.311,67.363,0.840
1.044898,400.336,67.364,0.831
1.056508,378.783,66.406,0.821
1.068118,292.204,61.914,0.822
1.079728,292.615,61.938,0.820
1.091338,291.938,61.898,0.814
1.102948,292.984,61.960,0.802
1.114558,291.326,61.862,0.772
1.126168,292.652,61.940,0.744
1.137778,293.540,61.993,0.734
1.149388,291.468,61.870,0.730
1.160998,272.468,60.703,0.723
1.172608,272.259,60.690,0.722
1.184218,143.086,49.553,0.742
1.195828,99.341,43.236,0.757
1.207438,99.348,43.237,0.778
1.219048,99.346,43.236,0.795
1.230658,99.359,43.239,0.809
1.242268,94.639,42.396,0.812
