time_sec,f0_hz,midi,confidence
0.000000,880.510,81.010,0.498
0.011610,881.124,81.022,0.511
0.023220,878.071,80.962,0.524
0.034830,878.204,80.965,0.530
0.046440,873.499,80.872,0.538
0.058050,871.337,80.829,0.509
0.069660,871.652,80.835,0.479
0.081270,856.085,80.523,0.463
0.092880,860.994,80.622,0.452
0.104490,855.558,80.512,0.446
0.116100,856.075,80.523,0.431
0.127710,859.187,80.586,0.428
0.139320,862.388,80.650,0.424
0.150930,866.767,80.738,0.411
0.162540,866.163,80.726,0.403
0.174150,868.688,80.776,0.391
0.185760,868.224,80.767,0.377
0.197370,868.060,80.763,0.359
0.208980,861.259,80.627,0.341
0.220590,855.911,80.519,0.326
0.232200,853.825,80.477,0.291
0.243810,847.837,80.355,0.265
0.255420,842.932,80.255,0.228
0.267029,841.459,80.225,0.186
0.278639,843.129,80.259,0.147
0.290249,827.951,79.944,0.092
0.301859,823.235,79.846,0.054
0.313469,,,0.000
0.325079,,,0.000
0.336689,,,0.000
0.348299,,,0.000
0.359909,,,0.000
0.371519,,,0.000
0.383129,743.642,78.085,0.058
0.394739,634.735,75.344,0.172
0.406349,641.178,75.519,0.235
0.417959,271.381,60.634,0.278
0.429569,638.612,75.449,0.327
0.441179,637.009,75.406,0.367
0.452789,639.699,75.479,0.397
0.464399,645.699,75.640,0.423
0.476009,643.940,75.593,0.445
0.487619,639.960,75.486,0.460
0.499229,635.550,75.366,0.468
0.510839,634.474,75.337,0.482
0.522449,634.891,75.348,0.489
0.534059,116.301,45.964,0.497
0.545669,116.290,45.963,0.502
0.557279,296.873,62.188,0.509
0.568889,115.961,45.914,0.517
0.580499,88.228,41.182,0.518
0.592109,107.315,44.572,0.526
0.603719,107.420,44.589,0.521
0.615329,176.435,53.180,0.553
0.626939,197.762,55.155,0.614
0.638549,206.463,55.901,0.659
0.650159,206.970,55.943,0.687
0.661769,209.147,56.124,0.707
0.673379,211.206,56.294,0.725
0.684989,212.677,56.414,0.739
0.696599,214.047,56.525,0.754
0.708209,215.685,56.657,0.759
0.719819,217.450,56.798,0.754
0.731429,218.686,56.896,0.744
0.743039,219.340,56.948,0.737
0.754649,219.518,56.962,0.730
0.766259,219.515,56.962,0.723
0.777868,219.850,56.988,0.715
0.789478,220.311,57.024,0.703
0.801088,221.854,57.145,0.691
0.812698,224.531,57.353,0.683
0.824308,227.793,57.603,0.676
0.835918,230.960,57.842,0.668
0.847528,234.501,58.105,0.655
0.859138,238.890,58.426,0.650
0.870748,241.350,58.603,0.652
0.882358,243.444,58.753,0.650
0.893968,244.906,58.857,0.656
0.905578,246.285,58.954,0.652
0.917188,247.216,59.019,0.648
0.928798,246.953,59.001,0.651
0.940408,246.716,58.984,0.654
0.952018,246.867,58.995,0.648
0.963628,246.614,58.977,0.640
0.975238,246.122,58.942,0.637
0.986848,246.317,58.956,0.628
0.998458,246.086,58.940,0.625
1.010068,246.242,58.951,0.625
1.021678,246.937,59.000,0.619
1.033288,246.828,58.992,0.615
1.044898,246.790,58.989,0.612
1.056508,246.973,59.002,0.610
1.068118,247.477,59.038,0.607
1.079728,247.753,59.057,0.608
1.091338,247.675,59.051,0.611
1.102948,247.531,59.041,0.613
1.114558,247.582,59.045,0.616
1.126168,247.587,59.045,0.618
1.137778,247.261,59.022,0.620
1.149388,247.128,59.013,0.617
1.160998,246.979,59.003,0.619
1.172608,246.528,58.971,0.616
1.184218,246.559,58.973,0.612
1.195828,246.624,58.978,0.606
1.207438,246.646,58.979,0.595
1.219048,246.879,58.996,0.588
1.230658,247.019,59.005,0.584
1.242268,247.040,59.007,0.581
1.253878,247.602,59.046,0.576
1.265488,247.308,59.026,0.576
1.277098,247.315,59.026,0.573
1.288707,247.565,59.044,0.571
1.300317,246.938,59.000,0.577
1.311927,246.847,58.993,0.581
1.323537,247.098,59.011,0.579
1.335147,247.269,59.023,0.582
1.346757,247.526,59.041,0.587
1.358367,247.445,59.035,0.587
1.369977,247.219,59.019,0.593
1.381587,247.476,59.037,0.594
1.393197,247.167,59.016,0.593
1.404807,246.978,59.003,0.596
1.416417,246.554,58.973,0.604
1.428027,246.715,58.984,0.607
1.439637,246.752,58.987,0.608
1.451247,246.525,58.971,0.610
1.462857,246.989,59.003,0.608
1.474467,247.043,59.007,0.610
1.486077,246.758,58.987,0.616
1.497687,246.860,58.994,0.618
