time_sec,f0_hz,midi,confidence
0.000000,,,0.000
0.011610,,,0.000
0.023220,,,0.000
0.034830,,,0.000
0.046440,,,0.000
0.058050,,,0.000
0.069660,,,0.000
0.081270,,,0.000
0.092880,,,0.000
0.104490,,,0.000
0.116100,,,0.000
0.127710,,,0.000
0.139320,,,0.000
0.150930,,,0.000
0.162540,,,0.000
0.174150,,,0.000
0.185760,,,0.000
0.197370,,,0.000
0.208980,,,0.000
0.220590,,,0.000
0.232200,,,0.000
0.243810,,,0.000
0.255420,,,0.000
0.267029,,,0.000
0.278639,,,0.000
0.290249,,,0.000
0.301859,,,0.000
0.313469,,,0.000
0.325079,,,0.000
0.336689,,,0.000
0.348299,,,0.000
0.359909,,,0.000
0.371519,,,0.000
0.383129,,,0.000
0.394739,,,0.000
0.406349,,,0.000
0.417959,,,0.000
0.429569,,,0.000
0.441179,,,0.000
0.452789,,,0.000
0.464399,,,0.000
0.476009,,,0.000
0.487619,,,0.000
0.499229,,,0.000
0.510839,,,0.000
0.522449,,,0.000
0.534059,,,0.000
0.545669,,,0.000
0.557279,,,0.000
0.568889,,,0.000
0.580499,,,0.000
0.592109,,,0.000
0.603719,,,0.000
0.615329,,,0.000
0.626939,,,0.000
0.638549,,,0.000
0.650159,,,0.000
0.661769,,,0.000
0.673379,,,0.000
0.684989,,,0.000
0.696599,,,0.000
0.708209,,,0.000
0.719819,,,0.000
0.731429,,,0.000
0.743039,,,0.000
0.754649,,,0.000
0.766259,,,0.000
0.777868,,,0.000
0.789478,,,0.000
0.801088,,,0.000
0.812698,,,0.000
0.824308,,,0.000
0.835918,,,0.000
0.847528,,,0.000
0.859138,,,0.000
0.870748,,,0.000
0.882358,,,0.000
0.893968,,,0.000
0.905578,,,0.000
0.917188,,,0.000
0.928798,,,0.000
0.940408,,,0.000
0.952018,,,0.000
0.963628,,,0.000
0.975238,,,0.000
0.986848,,,0.000
0.998458,,,0.000
1.010068,,,0.000
1.021678,,,0.000
1.033288,,,0.000
1.044898,,,0.000
1.056508,,,0.000
1.068118,,,0.000
1.079728,,,0.000
1.091338,,,0.000
1.102948,,,0.000
1.114558,,,0.000
1.126168,,,0.000
1.137778,,,0.000
1.149388,,,0.000
1.160998,,,0.000
1.172608,,,0.000
1.184218,,,0.000
1.195828,,,0.000
1.207438,,,0.000
1.219048,,,0.000
1.230658,,,0.000
1.242268,,,0.000
1.253878,,,0.000
1.265488,,,0.000
1.277098,,,0.000
1.288707,,,0.000
1.300317,,,0.000
1.311927,,,0.000
1.323537,,,0.000
1.335147,,,0.000
1.346757,,,0.000
1.358367,,,0.000
1.369977,,,0.000
1.381587,,,0.000
1.393197,,,0.000
1.404807,,,0.000
1.416417,,,0.000
1.428027,,,0.000
1.439637,,,0.000
1.451247,,,0.000
1.462857,,,0.000
1.474467,,,0.000
1.486077,,,0.000
1.497687,,,0.000
1.509297,,,0.000
1.520907,,,0.000
1.532517,,,0.000
1.544127,,,0.000
1.555737,,,0.000
1.567347,,,0.000
1.578957,,,0.000
1.590567,,,0.000
1.602177,,,0.000
1.613787,,,0.000
1.625397,,,0.000
1.637007,,,0.000
1.648617,,,0.000
1.660227,,,0.000
1.671837,,,0.000
1.683447,,,0.000
1.695057,,,0.000
1.706667,,,0.000
1.718277,,,0.000
1.729887,,,0.000
1.741497,,,0.000
1.753107,,,0.000
1.764717,,,0.000
1.776327,,,0.000
1.787937,,,0.000
1.799546,,,0.000
1.811156,,,0.000
1.822766,,,0.000
1.834376,,,0.000
1.845986,,,0.000
1.857596,,,0.000
1.869206,,,0.000
1.880816,,,0.000
1.892426,,,0.000
1.904036,,,0.000
1.915646,,,0.000
1.927256,,,0.000
1.938866,,,0.000
1.950476,,,0.000
1.962086,,,0.000
1.973696,,,0.000
1.985306,,,0.000
1.996916,,,0.000
2.008526,,,0.000
2.020136,,,0.000
2.031746,,,0.000
2.043356,,,0.000
2.054966,,,0.000
2.066576,,,0.000
2.078186,,,0.000
2.089796,,,0.000
2.101406,,,0.000
2.113016,,,0.000
2.124626,,,0.000
2.136236,,,0.000
2.147846,,,0.000
2.159456,,,0.000
2.171066,,,0.000
2.182676,,,0.000
2.194286,,,0.000
2.205896,,,0.000
2.217506,,,0.000
2.229116,,,0.000
2.240726,,,0.000
2.252336,,,0.000
2.263946,,,0.000
2.275556,,,0.000
2.287166,,,0.000
2.298776,,,0.000
2.310385,,,0.000
2.321995,,,0.000
2.333605,,,0.000
2.345215,,,0.000
2.356825,,,0.000
2.368435,,,0.000
2.380045,,,0.000
2.391655,,,0.000
2.403265,,,0.000
2.414875,,,0.000
2.426485,,,0.000
2.438095,782.077,78.958,0.065
2.449705,771.155,78.714,0.123
2.461315,782.355,78.964,0.167
2.472925,788.824,79.106,0.218
2.484535,789.293,79.117,0.236
2.496145,785.717,79.038,0.253
2.507755,783.368,78.986,0.270
2.519365,785.635,79.036,0.277
2.530975,462.050,69.847,0.276
2.542585,460.963,69.806,0.278
2.554195,462.858,69.877,0.274
2.565805,460.045,69.771,0.258
2.577415,460.599,69.792,0.257
2.589025,458.052,69.696,0.255
2.600635,308.903,62.876,0.308
2.612245,309.287,62.897,0.409
2.623855,309.303,62.898,0.474
2.635465,309.483,62.908,0.523
2.647075,310.278,62.953,0.563
2.658685,310.128,62.944,0.591
2.670295,310.609,62.971,0.614
2.681905,311.076,62.997,0.629
2.693515,311.294,63.009,0.637
2.705125,311.459,63.018,0.636
2.716735,311.672,63.030,0.630
2.728345,311.927,63.044,0.619
2.739955,312.446,63.073,0.602
2.751565,312.803,63.093,0.584
2.763175,313.574,63.136,0.563
2.774785,316.538,63.298,0.548
2.786395,322.269,63.609,0.543
2.798005,330.560,64.049,0.543
2.809615,337.454,64.406,0.547
2.821224,343.912,64.734,0.560
2.832834,347.362,64.907,0.575
2.844444,349.324,65.005,0.593
2.856054,350.206,65.048,0.608
2.867664,350.845,65.080,0.617
2.879274,350.625,65.069,0.625
2.890884,350.543,65.065,0.626
2.902494,349.751,65.026,0.630
2.914104,349.003,64.989,0.625
2.925714,348.143,64.946,0.622
2.937324,347.256,64.902,0.617
2.948934,346.769,64.878,0.606
2.960544,346.483,64.863,0.599
2.972154,346.488,64.864,0.588
2.983764,346.764,64.877,0.588
2.995374,347.791,64.929,0.596
3.006984,349.446,65.011,0.604
3.018594,350.647,65.070,0.616
3.030204,352.519,65.162,0.619
3.041814,352.464,65.160,0.633
3.053424,352.920,65.182,0.637
3.065034,352.244,65.149,0.646
3.076644,351.536,65.114,0.645
3.088254,350.641,65.070,0.638
3.099864,348.823,64.980,0.633
3.111474,347.675,64.923,0.617
3.123084,346.289,64.854,0.612
3.134694,345.491,64.814,0.600
3.146304,345.408,64.810,0.595
3.157914,346.222,64.850,0.586
3.169524,346.445,64.861,0.581
3.181134,347.092,64.894,0.579
3.192744,347.071,64.893,0.573
3.204354,345.395,64.809,0.576
3.215964,341.406,64.608,0.574
3.227574,331.548,64.101,0.575
3.239184,320.364,63.507,0.583
3.250794,306.570,62.745,0.586
3.262404,291.837,61.892,0.596
3.274014,278.938,61.109,0.604
3.285624,271.746,60.657,0.615
3.297234,267.147,60.362,0.622
3.308844,263.968,60.154,0.628
3.320454,262.670,60.069,0.632
3.332063,262.347,60.048,0.632
3.343673,262.668,60.069,0.631
3.355283,263.118,60.098,0.632
3.366893,263.101,60.097,0.632
3.378503,262.832,60.080,0.628
3.390113,262.632,60.066,0.627
3.401723,262.384,60.050,0.627
3.413333,262.165,60.036,0.628
3.424943,262.412,60.052,0.630
3.436553,262.469,60.056,0.632
3.448163,263.082,60.096,0.635
3.459773,263.848,60.146,0.636
3.471383,264.050,60.160,0.640
3.482993,264.111,60.164,0.642
3.494603,263.778,60.142,0.641
3.506213,263.772,60.141,0.644
3.517823,263.298,60.110,0.645
3.529433,263.174,60.102,0.645
3.541043,262.873,60.082,0.646
3.552653,262.576,60.063,0.648
3.564263,262.466,60.056,0.650
3.575873,261.937,60.021,0.650
3.587483,261.744,60.008,0.650
3.599093,261.322,59.980,0.644
3.610703,260.854,59.949,0.638
3.622313,260.532,59.927,0.630
3.633923,259.830,59.881,0.616
3.645533,259.628,59.867,0.599
3.657143,259.056,59.829,0.579
3.668753,259.466,59.857,0.563
3.680363,261.655,60.002,0.553
3.691973,264.532,60.191,0.558
3.703583,267.091,60.358,0.572
3.715193,268.551,60.452,0.589
3.726803,268.864,60.472,0.609
3.738413,268.065,60.421,0.629
3.750023,267.073,60.357,0.643
3.761633,265.835,60.276,0.654
3.773243,264.311,60.177,0.660
3.784853,262.744,60.074,0.659
3.796463,261.213,59.973,0.651
3.808073,259.591,59.865,0.638
3.819683,258.453,59.789,0.621
3.831293,257.651,59.735,0.600
3.842902,257.879,59.750,0.579
3.854512,258.965,59.823,0.553
3.866122,260.624,59.934,0.526
3.877732,263.045,60.094,0.506
3.889342,265.083,60.227,0.497
3.900952,265.711,60.268,0.499
3.912562,265.510,60.255,0.499
3.924172,264.661,60.200,0.494
3.935782,262.793,60.077,0.490
3.947392,260.506,59.926,0.493
3.959002,258.039,59.761,0.503
3.970612,256.119,59.632,0.513
3.982222,255.206,59.570,0.520
3.993832,255.282,59.575,0.523
4.005442,256.438,59.653,0.530
4.017052,258.314,59.779,0.541
4.028662,260.479,59.924,0.552
4.040272,262.616,60.065,0.557
4.051882,264.469,60.187,0.558
4.063492,265.624,60.263,0.557
4.075102,265.955,60.284,0.555
4.086712,265.645,60.264,0.553
4.098322,264.830,60.211,0.552
4.109932,263.417,60.118,0.547
4.121542,262.002,60.025,0.541
4.133152,260.156,59.902,0.533
4.144762,258.656,59.802,0.520
4.156372,257.442,59.721,0.503
4.167982,257.151,59.701,0.483
4.179592,257.610,59.732,0.462
4.191202,258.992,59.825,0.438
4.202812,261.355,59.982,0.417
4.214422,263.816,60.144,0.403
4.226032,265.977,60.286,0.406
4.237642,266.300,60.307,0.424
4.249252,265.634,60.263,0.448
4.260862,264.924,60.217,0.464
4.272472,264.033,60.159,0.476
4.284082,263.230,60.106,0.480
4.295692,262.285,60.044,0.479
4.307302,261.077,59.964,0.471
4.318912,259.902,59.886,0.457
4.330522,258.994,59.825,0.433
4.342132,258.190,59.771,0.403
4.353741,258.067,59.763,0.371
4.365351,258.602,59.799,0.339
4.376961,259.702,59.872,0.311
4.388571,260.887,59.951,0.293
4.400181,261.784,60.010,0.283
4.411791,262.339,60.047,0.279
4.423401,262.811,60.078,0.281
4.435011,263.047,60.094,0.279
4.446621,263.356,60.114,0.273
4.458231,263.108,60.098,0.270
4.469841,262.477,60.056,0.270
4.481451,261.805,60.012,0.266
4.493061,261.531,59.994,0.257
4.504671,261.717,60.006,0.246
4.516281,262.264,60.042,0.230
4.527891,263.058,60.095,0.211
4.539501,263.689,60.136,0.190
4.551111,265.050,60.225,0.162
4.562721,266.799,60.339,0.135
4.574331,267.867,60.408,0.118
4.585941,267.567,60.389,0.115
4.597551,266.558,60.323,0.115
4.609161,265.099,60.228,0.114
4.620771,263.857,60.147,0.115
4.632381,263.107,60.098,0.115
4.643991,262.490,60.057,0.110
4.655601,262.295,60.044,0.097
4.667211,262.129,60.033,0.077
4.678821,262.217,60.039,0.050
4.690431,262.418,60.052,0.021
4.702041,263.052,60.094,0.002
4.713651,,,0.000
4.725261,263.096,60.097,0.010
4.736871,262.560,60.062,0.037
4.748481,261.599,59.998,0.062
4.760091,260.864,59.950,0.078
4.771701,260.633,59.934,0.087
4.783311,260.806,59.946,0.092
4.794921,260.730,59.941,0.096
4.806531,260.533,59.928,0.100
4.818141,260.565,59.930,0.101
4.829751,260.626,59.934,0.097
4.841361,260.744,59.942,0.090
4.852971,260.905,59.952,0.084
4.864580,261.027,59.960,0.080
4.876190,261.173,59.970,0.075
4.887800,261.682,60.004,0.068
4.899410,262.203,60.038,0.059
4.911020,262.547,60.061,0.049
4.922630,262.833,60.080,0.036
4.934240,263.235,60.106,0.026
4.945850,263.091,60.097,0.021
4.957460,262.990,60.090,0.019
4.969070,262.535,60.060,0.023
4.980680,262.121,60.033,0.024
4.992290,261.765,60.009,0.017
5.003900,261.511,59.992,0.004
5.015510,,,0.000
5.027120,,,0.000
5.038730,,,0.000
5.050340,,,0.000
5.061950,,,0.000
5.073560,,,0.000
5.085170,,,0.000
5.096780,,,0.000
5.108390,,,0.000
5.120000,,,0.000
5.131610,,,0.000
5.143220,,,0.000
5.154830,,,0.000
5.166440,,,0.000
5.178050,,,0.000
5.189660,,,0.000
5.201270,,,0.000
5.212880,,,0.000
5.224490,,,0.000
5.236100,,,0.000
5.247710,,,0.000
5.259320,,,0.000
5.270930,,,0.000
5.282540,262.143,60.034,0.004
5.294150,261.854,60.015,0.005
5.305760,261.578,59.997,0.004
5.317370,261.503,59.992,0.001
5.328980,,,0.000
5.340590,,,0.000
5.352200,,,0.000
5.363810,,,0.000
5.375420,,,0.000
5.387029,,,0.000
5.398639,,,0.000
5.410249,,,0.000
5.421859,,,0.000
5.433469,,,0.000
5.445079,,,0.000
5.456689,,,0.000
5.468299,,,0.000
5.479909,,,0.000
5.491519,,,0.000
5.503129,,,0.000
5.514739,,,0.000
5.526349,,,0.000
5.537959,,,0.000
5.549569,,,0.000
5.561179,,,0.000
5.572789,,,0.000
5.584399,,,0.000
5.596009,,,0.000
5.607619,,,0.000
5.619229,,,0.000
5.630839,,,0.000
5.642449,,,0.000
5.654059,,,0.000
5.665669,,,0.000
5.677279,,,0.000
5.688889,,,0.000
5.700499,,,0.000
5.712109,,,0.000
5.723719,,,0.000
5.735329,,,0.000
5.746939,,,0.000
5.758549,,,0.000
