start_sec,end_sec,singer,text
9.800,14.500,P,계절은 지나가고 봄이 돌아올 동안
14.500,18.500,P,멈춰 있던 내 하루가 움직여
18.500,22.900,P,너와 남긴 이 거리의 잔향이
22.900,28.100,P,아직도 날 부르고 있어
28.100,32.700,P,괜찮은 척 웃어봐도
32.700,37.700,P,심장은 자꾸 너를 찾아
37.700,41.700,M,지금 이 순간만큼은
41.700,47.400,M,솔직해지고 싶어
47.400,50.700,P,"Bloom bloom, 다시 피어나"
50.700,53.200,P,흩어진 나를 밝혀줘
53.200,55.700,P,너를 잊는 게 아니라
55.700,57.400,P,나를 더 사랑하는 법
57.400,60.600,P,"Oh oh, 손을 뻗으면"
60.600,63.900,P,닿을 듯한 이 계절
63.900,66.800,M,계절은 지나가도 우리의 봄은 지금이야
66.800,68.800,P,조금 느린 걸음이라도
68.800,70.300,P,나는 앞으로 가
70.300,72.800,P,봄이 다시 올 때쯤엔
72.800,83.000,P,더 빛나는 내가 될 거야
83.000,87.200,P,빛나는 내가 될 거야
87.200,90.700,ALL,"Bloom bloom, 다시 피어나"
90.700,93.200,ALL,흩어진 나를 밝혀줘
93.200,95.700,P,너를 잊는 게 아니라
95.700,97.400,P,나를 더 사랑하는 법
97.400,100.500,ALL,"Oh oh, 손을 뻗으면"
100.500,104.100,ALL,닿을 듯한 이 계절
104.100,107.100,P,계절은 지나가도 우리의 봄은 지금이야
