start_sec,end_sec,singer,text
10.400,12.600,P,아무도 몰라
12.600,14.800,P,우리 둘 사이
14.800,18.700,P,내 핑크 권총은 주머니 안에
18.700,20.700,M,나쁜 짓은 기분 좋아
20.700,23.100,M,선물로 사탕 하나
23.100,26.200,M,그 달콤한 거 내게 줘
26.200,28.800,P,죽이는 향기 나게
28.800,30.900,P,부드럽고 끈적해
30.900,34.800,P,그 이상은 내게 안 돼
34.800,38.400,ALL,서로 안 걸리면 돼
38.400,43.200,P,나를 위해 잠깐 뺏는 건 정당해
43.200,46.600,ALL,서로 안 걸리면 돼
46.600,51.900,P,네 여자를 위해 뺏기고 또 뺏기고
51.900,54.000,P,핑크 장미 내 발 아래
54.000,60.300,P,내 핑크 권총은 주머니 안에
60.300,62.300,P,핑크 장미 내 발 아래
62.300,68.500,P,내 핑크 권총은 주머니 안에
68.500,70.600,M,너의 잘못은 기분 좋아
70.600,72.700,M,사탕으로 입을 막아
72.700,76.000,M,그 달콤한 거 내게 줘
76.000,78.300,P,죽이는 향기 나게
78.300,80.700,P,부드럽고 끈적해
80.700,84.500,P,그 이상은 내게 안 돼
84.500,89.700,ALL,서로 안 걸리면 돼
89.700,94.800,P,나를 위해 잠깐 뺏는 건 정당해
94.800,98.100,ALL,서로 안 걸리면 돼
98.100,101.100,P,네 여자를 위해 뺏기고 뺏기고
