start_sec,end_sec,singer,text
0.000,6.400,M,"Yeah, I don’t know. Is it a dream? Or real life? Tell me."
6.400,11.000,P,깜빡이는 커서(Cursor) 멍하니 봐
11.000,15.000,P,또 화면 속의 난 좀 낯설어 보여
15.000,16.800,M,"어지러운 방 안,"
16.800,24.100,M,"흩어진 Clothes 정리가 안 돼, 내 머릿속도"
24.100,25.900,P,알람은 껐어 No disturb
25.900,27.900,P,오후 2시인데 아직 꿈속 같아
27.900,30.300,P,"네가 보낸 Text, 읽지 않고 Swipe"
30.300,31.900,P,근데 자꾸 신경 쓰여 Why?
31.900,34.400,M,"(Tell me why, tell me why)"
34.400,36.900,P,I’m sleepwalking to you
36.900,39.300,P,"눈을 감아도 보여, It’s true"
39.300,41.800,P,발이 닿지 않는 기분 구름
41.800,44.300,P,구름 위를 걷는 듯해
44.300,45.500,M,Ooh-ooh
45.500,47.900,P,"뭔가 좀 이상해, This vibe"
47.900,50.300,P,"깨고 싶지 않아, All night"
50.300,54.200,P,"Just like, sweet déjà vu."
54.200,56.300,M,거울 속에 비친 표정 It's so funny
56.300,58.700,M,쿨한 척해 봐도 들키는 거니
58.700,61.400,M,"You got me like,"
61.400,63.500,ALL,"""Oh my god"" 말 돌리지 마,"
63.500,66.600,M,Stop it 빙빙 돌려 말하는 건 지루해
66.600,68.900,P,솔직히 말해봐 Do you feel the same?
68.900,71.000,P,"보라색 하늘, 경계가 흐려져"
71.000,75.200,P,현실감 없게 만들어 넌
75.200,77.600,M,숨을 멈추고 Dive in 이 기분은 마치 Blue
77.600,80.100,P,I’m sleepwalking to you
80.100,82.500,P,"눈을 감아도 보여, It’s true"
82.500,85.000,P,발이 닿지 않는 기분 구름
85.000,86.200,P,구름 위를 걷는 듯해
86.200,88.700,M,Ooh-ooh
88.700,91.400,P,"뭔가 좀 이상해, This vibe"
91.400,95.500,P,"깨고 싶지 않아, All night"
95.500,98.500,P,"Just like, sweet déjà vu"
