start_sec,end_sec,singer,text
0.000,3.200,P,하나둘씩 사라져 가네
3.200,7.000,P,이대로도 괜찮을까
7.000,10.800,P,아무도 없는 이 도시에
10.800,14.300,P,나 혼자만 남았나 봐
14.300,18.200,P,해가 지고 달이 떠올라
18.200,21.700,P,그곳으로 가야 해
21.700,25.700,M,언젠가 날 기억해 줄까
25.700,30.800,M,난 네게 달려가
30.800,34.500,P,기다려 줘
34.500,38.400,P,곧 도착해
38.400,42.300,P,다시 돌아갈 수 없대도
42.300,61.600,P,I'm coming for you
61.600,65.300,M,보이지 않아도 느낄 수 있어
65.300,68.600,M,그곳에 네가 있는 걸
68.600,71.600,P,잊지 마 절대 놓지 않을게
71.600,75.800,P,언제나 너와 함께할게
75.800,80.000,P,해가 지고 달이 떠올라
80.000,83.800,P,그곳으로 가야 해
83.800,87.700,P,언젠가 날 기억해 줄까
87.700,92.300,ALL,난 네게 달려가
92.300,96.400,P,기다려 줘
96.400,100.200,P,곧 도착해
100.200,104.300,P,다시 돌아갈 수 없대도
104.300,107.300,P,I'm coming for you
