start_sec,end_sec,singer,text
0.000,5.500,P,어두웠던 긴 밤의 끝자락
5.500,11.100,P,우리 앞에 펼쳐진 또 다른 Road
11.100,15.300,P,두려움은 멀리 던져버려
15.300,21.000,P,Like a star
21.000,25.600,M,거울 속에 비친 내 눈동자 속에
25.600,31.700,M,어제의 눈물은 다 씻겨 내려가
31.700,32.000,P,"Yeah,"
32.000,34.200,P,"zero에서 hundred, 우린 멈추지 않아"
34.200,36.100,P,다시 일어나 수천번은 말야
36.100,38.900,P,"Move it, No drama, Keep it, no fear, higher than the sky"
38.900,41.800,P,우리의 이야기는 이제 막 시작인 걸
41.800,46.100,M,숨 가쁘게 달려온 이 순간
46.100,55.100,P,가슴속 터질 듯한 이 울림을 느껴봐
55.100,58.100,M,"Oh, we’re ready to shine!"
58.100,62.900,P,"We are the light, 영원히 빛날 Dreamers"
62.900,68.300,P,그 어떤 어둠도 우릴 가둘 순 없어
68.300,76.100,P,"Diamond hearts, 더 눈부시게"
76.100,78.300,P,빛을 내는 나를 지켜봐
78.300,87.200,ALL,"Oh- oh, oh, oh-"
87.200,93.300,P,가끔은 지쳐 멈추고 싶을 때도 있지만
93.300,98.900,P,우릴 비추는 저 빛을 따라서
98.900,103.400,ALL,다시 걸어가!
103.400,109.300,P,"We are the light, 영원히 빛날 Dreamers"
109.300,114.800,P,그 어떤 어둠도 우릴 가둘 순 없어
114.800,122.500,P,"Diamond hearts, 더 눈부시게"
122.500,125.400,M,반짝이는 나를 지켜봐 we are the light!
125.400,132.800,ALL,"Oh- oh, oh, oh-"
132.800,135.200,M,"Yeah, we’re shining now"
135.200,143.200,ALL,"Oh- oh, oh, oh-"
143.200,146.200,ALL,빛을 내는 우릴 지켜봐
