start_sec,end_sec,singer,text
16.600,23.000,P,알고 있니 우리 오늘 만난 지
23.000,29.900,P,넌 잊었니 날 차단했니
29.900,31.500,P,"yeah, 사실 알고 있어"
31.500,33.900,P,너의 마음은 떴고 난 잡지 못했어
33.900,34.600,M,알고 있었어
34.600,36.300,M,너에게서 남자 스킨 향이 나고
36.300,40.600,M,약속을 취소하던 그 시끄러운 전화 배경음 속에서 난
40.600,42.900,M,눈을 감기를 택했어
42.900,45.000,M,너 미쳤니 너 미쳤니
45.000,48.800,P,나 미쳐가 나 미쳐가
48.800,52.000,P,나 미쳤어 나 미쳤어
52.000,53.600,P,널 놓을 수가 없어
53.600,56.900,P,I'm going insane
56.900,58.700,M,뚜루루... 아... 아...
58.700,59.800,M,전화 좀 받아... 한아야...
59.800,62.200,P,나는 너 하나뿐이었는데
62.200,65.900,P,내 맘속엔 여전히 너 하나인데
65.900,71.500,M,널 놓을 바엔 차라리 미쳐 살겠어
71.500,86.600,M,I'm goin' insane
86.600,90.000,P,나 미쳐가 나 미쳐가
90.000,93.100,P,나 미쳤어 나 미쳤어
93.100,94.700,P,널 놓을 수가 없어
94.700,100.500,M,I’m goin’ insane
100.500,102.300,M,알고 있니
102.300,107.200,M,우리 아니 난 오늘 미친 지
107.200,110.000,M,잘 살고 있니 나 없이
110.000,113.800,M,다른 남자의 품에서
113.800,117.200,P,나 미쳐가 나 미쳤어
117.200,120.600,P,나 미쳤어 나 미쳤어
120.600,122.200,P,널 놓을 수가 없어
122.200,125.200,P,I’m goin’ insane
