start_sec,end_sec,singer,text
18.200,23.000,P,"차가운 공기, 창문을 내려"
23.000,27.900,P,Back seat엔 던져둔 자켓과 Fear
27.900,31.300,P,불빛들은 선을 그리고
31.300,38.100,P,날 어디론가 데려가고 있어
38.100,41.300,P,복잡한 지도는 필요 없어
41.300,44.200,P,네 눈동자에 비친 내가 길이니까
44.200,46.400,P,스쳐가는 가로등은 마치
46.400,49.300,P,Spotlight 우리만의 무대 All night
49.300,52.000,M,내비게이션은 꺼둬 No direction
52.000,54.900,M,이 속도감에 맡겨 Heartbeat action
54.900,59.800,M,백미러 속 멀어지는 순간의 기억
59.800,62.700,P,"끝없는 이 도로 위,"
62.700,65.200,P,너와 나 단둘이
65.200,70.300,P,"On the Highway, 멈추지 않는 꿈을 꿔"
70.300,73.700,P,"터질 듯한 Engine, 네 숨소리"
73.700,79.300,P,Oh- oh- woo- 이 밤의 끝까지 달려 Drive with you
79.300,100.600,P,Drive with you
100.600,105.400,P,엑셀을 더 밟아 No hesitation
105.400,111.000,P,반응하는 나의 Motion
111.000,118.600,P,백미러 속 멀어지는 순간의 기억
118.600,120.600,P,신호등은 모두 Green light
120.600,121.400,M,(Green light)
121.400,124.150,P,망설임 없어
124.150,124.300,M,(All right)
124.300,126.700,P,더 높이 날아올라
126.700,128.300,M,"(Yeah, fly high!)"
128.300,132.300,ALL,"끝없는 이 도로 위,"
132.300,133.800,ALL,너와 나 단둘이
133.800,138.900,ALL,"On the Highway, 멈추지 않는 꿈을 꿔"
138.900,142.400,ALL,"터질 듯한 Engine, 네 숨소리"
142.400,157.900,ALL,Oh- woo- 이 밤의 끝까지 달려 Drive with you
157.900,167.700,ALL,Drive with you
167.700,170.700,ALL,Overdrive.
