start_sec,end_sec,singer,text
2.400,5.300,M,"Oh, where are you?"
5.300,12.800,M,I’m still waiting for you...
12.800,17.000,P,"말했잖아, 그건 19일이라고"
17.000,19.500,P,넌 몰랐겠지
19.500,23.300,P,그렇게 늦게 찾아올 줄은
23.300,26.000,P,항상 한 발 빠르게
26.000,30.200,M,날 찾아와 기다리던 너
30.200,33.100,M,이젠 그 모습
33.100,39.000,M,찾을 수가 없는데
39.000,41.900,P,너 어디에 있니
41.900,45.300,P,멀리 있다고 하지 마
45.300,47.600,P,사랑은 항상
47.600,50.600,P,가까이에 있는데
50.600,53.600,P,어디쯤 온 거니
53.600,59.600,P,항상 널 찾아 헤매는데 종강은 아직
59.600,63.000,P,저기 멀리에 (저기 멀리에)
63.000,65.500,P,저기 멀리에
65.500,69.700,M,"Yeah, 밤샘은 또다시 날 찾아오고"
69.700,71.600,M,카페인은 이미 치사량을 넘었어
71.600,74.700,M,"교수님의 마지막 선물인 과제 폭탄 던지기,"
74.700,77.200,M,"무책임하긴 내 머릿속은 파업함 너 때문이야,"
77.200,81.100,M,16주 동안의 마라톤 결승선이 보여야 하는데 왜 신기루 같죠 Please
81.100,84.200,M,come back to me 내 학점보다 네가 더 간절해
84.200,87.100,P,기말이라 부르며
87.100,89.100,P,날 괴롭혀 아프게 했던 너
89.100,89.900,P,이젠 그 시간
89.900,91.000,P,끝낼 때도 됐는데
91.000,93.100,P,흔들리는 멘탈 부여잡고 외쳐
93.100,95.800,M,너 어디에 있니
95.800,98.800,M,멀리 있다고 하지 마
98.800,104.600,M,사랑은 항상 가까이에 있는데
104.600,107.700,M,어디쯤 온 거니
107.700,111.200,P,항상 널 찾아 헤매는데
111.200,113.800,P,종강은 아직
113.800,120.300,P,저기 멀리에
120.300,122.300,P,하루가 일 년 같아
122.300,124.000,M,(일 년 같아)
124.000,126.300,P,모든 게 끝나는 그날
126.300,127.900,M,(그날이 오면)
127.900,130.500,P,자유라는 이름으로 널 꽉 안을 거야
130.500,132.000,P,조금만 더 버티면 돼
132.000,137.000,P,제발 내게 와줘 Oh
137.000,139.200,ALL,너 어디에 있니
139.200,140.100,M,(어디 있니)
140.100,142.800,ALL,멀리 있다고 하지 마
142.800,143.900,M,(Don't go away)
143.900,150.000,ALL,사랑은 항상 가까이에 있는데
150.000,151.500,M,(내 곁에 있어줘)
151.500,155.200,ALL,어디쯤 온 거니
155.200,157.900,ALL,항상 널 찾아 헤매는데
157.900,170.400,ALL,종강은 아직
170.400,174.000,ALL,저기 멀리에
174.000,177.000,ALL,종강은 아직... 저기 멀리에... 저기 멀리에…
