start_sec,end_sec,singer,text
7.300,9.000,M,(System Check... Complete.) Yeah
9.000,10.900,P,told ya It’s logic
10.900,14.300,P,오류가 난 것 같아 System
14.300,16.600,P,예상 범위를 벗어난 결과값
16.600,19.700,P,구석에 처박혀 먼지 쌓이던 내 꿈이 메인
19.700,22.000,P,화면에 떴어 Now (Pop up!)
22.000,24.000,P,분석은 이미 끝났어
24.000,26.500,P,비웃던 애들은 이해 못 할 Code
26.500,28.800,P,변수 따윈 없어 0과 1 사이
28.800,33.200,P,정답은 오직 나 하나뿐임
33.200,36.200,M,복잡하게 꼬여있던 회로들이 딱
36.200,38.700,M,한 번에 연결된 그 순간 (Click)
38.700,41.100,M,버퍼링은 없어 곧바로 다음
41.100,44.100,M,스테이지로 넘어가
44.100,47.600,P,"거봐, 결국 내 말이 맞잖아"
47.600,51.600,P,틀린 적 없던 나의
51.600,53.300,ALL,Algorithm
53.300,57.900,P,무시하던 시선들을 밟고 올라서 가장
57.900,61.800,P,높은 곳에서 널 내려다볼게
61.800,62.800,M,(Watch me now)
62.800,65.200,M,"Yeah, we break the logic (logic!)"
65.200,72.100,M,이게 새로운 표준(Standard!) 이야
72.100,74.000,P,"Yeah, we break the logic"
74.000,74.300,M,(hey!)
74.300,76.200,P,따라올 테면 따라와 봐
76.200,78.700,P,업데이트는 끝났어
78.700,82.800,M,"더 이상 과거의 버전이 아냐 (Next level, huh)"
82.800,85.400,M,이제 이 판을 뒤집어 엎어 Reset
85.400,88.900,ALL,"거봐, 결국 내 말이 맞잖아"
88.900,92.900,ALL,틀린 적 없던 나의
92.900,94.700,ALL,Algorithm
94.700,98.500,ALL,터질 듯한 함성 속에 증명해 냈어
98.500,103.000,ALL,이 미친 세상의 주인은 나인걸
103.000,106.000,ALL,Log out? No. We just started.
