start_sec,end_sec,singer,text
10.100,15.500,P,어둠 속에 몰래 잠들어 있던
15.500,20.400,P,아무도 모르게 키운 꿈
20.400,24.400,P,I'm chasing 네 함성을 따라
24.400,30.000,P,이 순간 위해 달려온 거죠
30.000,32.100,P,또 넘어져도 괜찮아
32.100,34.600,P,흙 묻은 손을 털고 일어나
34.600,39.800,M,We're together 함께 있으니까
39.800,42.000,M,다시 한번 주먹을 쥐자
42.000,44.600,P,왕관은 아직 저 위에
44.600,46.100,P,외치는 목소리
46.100,48.600,ALL,I’m the KING
48.600,50.000,P,끝까지 가볼래
50.000,51.500,ALL,"yeah, I’m the KING"
51.500,53.900,P,이 길의 주인은 나야
53.900,55.600,P,정상에 서 보일게
55.600,59.200,ALL,I'll be the KING
59.200,61.900,P,I'll be the KING
61.900,64.400,M,수천 번 던지곤 했던 질문들에
64.400,66.800,M,어차피 답은 항상 하나였지
66.800,69.000,M,어렸던 나는 그게 참 어려웠지
69.000,70.600,M,이제와서 돌이켜보니
70.600,72.800,M,애초에 포기라는 건 없었던 거야
72.800,74.500,P,또 넘어져도 괜찮아
74.500,77.000,P,흙 묻은 손을 털고 일어나
77.000,81.700,M,We're together 함께 있으니까
81.700,84.600,M,다시 한번 주먹을 쥐자
84.600,86.900,P,두려움을 밟고 올라서
86.900,88.300,P,외치는 목소리
88.300,91.000,ALL,I’m the KING
91.000,92.500,P,끝까지 가볼래
92.500,93.900,ALL,"yeah, I’m the KING"
93.900,96.200,P,내일은 내가 정하는 것
96.200,97.900,P,지금 난 올라가
97.900,101.600,ALL,I'll be the KING
101.600,102.900,ALL,I'll be the KING
102.900,105.200,P,손이 닿지 않던 하늘
105.200,107.800,P,오늘은 왠지 가까워 보여
107.800,112.500,P,나를 의심했던 어제와
112.500,115.000,P,오늘 여기서 작별해!!
115.000,117.200,M,왕관을 들어 올려
117.200,122.700,M,내 이름을 새긴 순간 I'm the KING
122.700,124.500,ALL,I'll be the KING
124.500,126.900,P,네 꿈은 현실이 될거야
126.900,132.100,P,이건 시작일 뿐이야 You're the KING
132.100,135.100,P,(WE'LL BE THE KING)
