time_sec,f0_hz,midi,confidence
0.000000,952.515,82.371,0.337
0.011610,958.693,82.483,0.356
0.023220,959.134,82.491,0.370
0.034830,960.401,82.514,0.385
0.046440,961.325,82.530,0.398
0.058050,967.156,82.635,0.381
0.069660,963.389,82.567,0.381
0.081270,960.520,82.516,0.381
0.092880,112.729,45.424,0.381
0.104490,141.445,49.353,0.383
0.116100,112.634,45.410,0.388
0.127710,97.960,42.993,0.387
0.139320,83.806,40.291,0.387
0.150930,207.435,55.982,0.384
0.162540,169.373,52.472,0.378
0.174150,169.329,52.468,0.369
0.185760,169.252,52.460,0.360
0.197370,169.391,52.474,0.349
0.208980,169.323,52.467,0.332
0.220590,169.612,52.497,0.313
0.232200,335.777,64.320,0.291
0.243810,335.262,64.293,0.261
0.255420,169.508,52.486,0.231
0.267029,337.771,64.423,0.240
0.278639,262.541,60.060,0.335
0.290249,262.261,60.042,0.440
0.301859,341.568,64.616,0.584
0.313469,232.147,57.930,0.664
0.325079,156.603,51.115,0.728
0.336689,156.783,51.135,0.757
0.348299,1002.273,83.252,0.776
0.359909,156.963,51.155,0.788
0.371519,1002.273,83.252,0.795
0.383129,642.430,75.552,0.802
0.394739,602.041,74.428,0.826
0.406349,187.443,54.227,0.828
0.417959,572.759,73.565,0.815
0.429569,565.299,73.338,0.820
0.441179,565.844,73.355,0.825
0.452789,562.740,73.260,0.831
0.464399,561.980,73.236,0.833
0.476009,561.346,73.217,0.833
0.487619,559.959,73.174,0.810
0.499229,560.128,73.179,0.803
0.510839,561.157,73.211,0.801
0.522449,563.968,73.297,0.785
0.534059,571.986,73.542,0.789
0.545669,581.827,73.837,0.781
0.557279,589.523,74.065,0.776
0.568889,597.435,74.295,0.780
0.580499,609.969,74.655,0.792
0.592109,620.124,74.941,0.802
0.603719,621.957,74.992,0.819
0.615329,620.829,74.960,0.831
0.626939,617.882,74.878,0.827
0.638549,611.591,74.701,0.833
0.650159,606.290,74.550,0.833
0.661769,595.493,74.239,0.834
0.673379,581.031,73.813,0.823
0.684989,562.528,73.253,0.807
0.696599,540.905,72.574,0.783
0.708209,515.409,71.739,0.763
0.719819,495.920,71.071,0.746
0.731429,487.994,70.792,0.729
0.743039,478.271,70.444,0.734
0.754649,470.189,70.149,0.732
0.766259,468.614,70.091,0.736
0.777868,468.172,70.074,0.753
0.789478,467.946,70.066,0.767
0.801088,467.889,70.064,0.779
0.812698,467.791,70.060,0.792
0.824308,467.692,70.057,0.803
0.835918,467.600,70.053,0.810
0.847528,468.097,70.072,0.812
0.859138,469.146,70.110,0.811
0.870748,470.848,70.173,0.804
0.882358,476.172,70.368,0.803
0.893968,485.814,70.715,0.807
0.905578,492.831,70.963,0.799
0.917188,505.132,71.390,0.789
0.928798,528.314,72.167,0.789
0.940408,544.519,72.690,0.783
0.952018,548.456,72.814,0.782
0.963628,551.475,72.909,0.785
0.975238,554.141,72.993,0.789
0.986848,554.927,73.018,0.789
0.998458,555.091,73.023,0.793
1.010068,555.400,73.032,0.792
1.021678,555.266,73.028,0.785
1.033288,555.351,73.031,0.778
1.044898,555.200,73.026,0.768
1.056508,555.744,73.043,0.756
1.068118,558.065,73.115,0.734
1.079728,565.683,73.350,0.704
1.091338,570.737,73.504,0.680
1.102948,144.673,49.743,0.670
1.114558,144.825,49.762,0.655
1.126168,135.148,48.564,0.651
1.137778,145.282,49.816,0.655
1.149388,135.277,48.581,0.651
1.160998,969.894,82.684,0.652
1.172608,472.365,70.229,0.688
1.184218,464.381,69.934,0.711
1.195828,461.146,69.813,0.727
1.207438,455.492,69.599,0.739
1.219048,447.654,69.299,0.756
1.230658,436.760,68.872,0.777
1.242268,428.041,68.523,0.799
1.253878,423.854,68.353,0.819
1.265488,418.946,68.151,0.819
1.277098,416.471,68.049,0.819
1.288707,415.104,67.992,0.820
1.300317,414.587,67.970,0.824
1.311927,414.313,67.959,0.824
1.323537,414.532,67.968,0.819
1.335147,414.966,67.986,0.805
1.346757,415.586,68.012,0.784
1.358367,416.341,68.043,0.769
1.369977,417.248,68.081,0.762
1.381587,418.786,68.145,0.760
1.393197,421.582,68.260,0.756
1.404807,431.523,68.663,0.767
1.416417,436.162,68.848,0.760
1.428027,441.983,69.078,0.760
1.439637,450.495,69.408,0.777
1.451247,458.538,69.714,0.801
1.462857,462.128,69.849,0.819
1.474467,464.181,69.926,0.826
1.486077,465.523,69.976,0.831
1.497687,467.372,70.045,0.824
1.509297,467.482,70.049,0.830
1.520907,934.002,82.031,0.834
1.532517,466.607,70.016,0.827
1.544127,465.429,69.973,0.807
1.555737,464.269,69.929,0.781
1.567347,463.473,69.900,0.758
1.578957,462.241,69.854,0.732
1.590567,461.828,69.838,0.712
1.602177,92.668,42.032,0.687
1.613787,92.738,42.045,0.659
1.625397,862.187,80.646,0.634
1.637007,855.225,80.506,0.620
1.648617,856.078,80.523,0.620
1.660227,855.777,80.517,0.615
1.671837,106.157,44.384,0.603
1.683447,883.589,81.070,0.602
1.695057,374.678,66.218,0.667
1.706667,375.696,66.265,0.704
1.718277,367.797,65.897,0.741
1.729887,360.929,65.571,0.784
1.741497,357.364,65.399,0.815
1.753107,355.205,65.294,0.840
1.764717,353.622,65.216,0.856
1.776327,352.255,65.149,0.860
1.787937,350.709,65.073,0.855
1.799546,349.522,65.015,0.856
1.811156,349.007,64.989,0.856
1.822766,348.437,64.961,0.847
1.834376,348.212,64.950,0.838
1.845986,348.063,64.942,0.828
1.857596,348.231,64.950,0.819
1.869206,348.719,64.975,0.823
1.880816,349.323,65.005,0.826
1.892426,350.105,65.043,0.824
1.904036,351.339,65.104,0.819
1.915646,352.352,65.154,0.809
1.927256,354.066,65.238,0.800
1.938866,357.866,65.423,0.800
1.950476,363.205,65.679,0.800
1.962086,372.560,66.120,0.806
1.973696,379.587,66.443,0.796
1.985306,393.360,67.060,0.784
1.996916,405.916,67.604,0.776
2.008526,411.180,67.827,0.778
2.020136,413.876,67.940,0.781
2.031746,415.390,68.004,0.774
2.043356,416.068,68.032,0.774
2.054966,416.565,68.052,0.767
2.066576,416.618,68.055,0.779
2.078186,416.364,68.044,0.783
2.089796,415.786,68.020,0.785
2.101406,415.336,68.001,0.775
2.113016,414.946,67.985,0.761
2.124626,415.210,67.996,0.745
2.136236,415.760,68.019,0.723
2.147846,416.124,68.034,0.695
2.159456,879.829,80.997,0.660
2.171066,910.036,81.581,0.626
2.182676,932.738,82.008,0.586
2.194286,941.576,82.171,0.577
2.205896,365.791,65.802,0.599
2.217506,364.298,65.731,0.672
2.229116,359.862,65.519,0.727
2.240726,358.132,65.436,0.776
2.252336,355.150,65.291,0.811
2.263946,352.653,65.169,0.835
2.275556,350.770,65.076,0.856
2.287166,348.847,64.981,0.873
2.298776,346.948,64.887,0.883
2.310385,344.523,64.765,0.880
2.321995,341.607,64.618,0.870
2.333605,336.997,64.383,0.857
2.345215,332.688,64.160,0.844
2.356825,327.769,63.902,0.830
2.368435,321.666,63.577,0.814
2.380045,315.853,63.261,0.803
2.391655,312.601,63.082,0.789
2.403265,155.706,51.016,0.794
2.414875,155.330,50.974,0.818
2.426485,229.526,57.734,0.831
2.438095,229.390,57.724,0.833
2.449705,229.887,57.761,0.843
2.461315,229.564,57.737,0.844
2.472925,229.657,57.744,0.849
2.484535,231.222,57.861,0.854
2.496145,231.153,57.856,0.861
2.507755,306.937,62.765,0.863
2.519365,310.142,62.945,0.868
2.530975,312.104,63.054,0.874
2.542585,313.675,63.141,0.875
2.554195,313.747,63.145,0.878
2.565805,314.442,63.183,0.879
2.577415,314.294,63.175,0.888
2.589025,314.253,63.173,0.894
2.600635,313.297,63.120,0.898
2.612245,312.049,63.051,0.901
2.623855,311.092,62.998,0.903
2.635465,310.806,62.982,0.902
2.647075,310.769,62.980,0.903
2.658685,310.818,62.983,0.902
2.670295,310.653,62.974,0.893
2.681905,310.357,62.957,0.876
2.693515,310.212,62.949,0.851
2.705125,310.323,62.955,0.825
2.716735,310.531,62.967,0.806
2.728345,310.139,62.945,0.788
2.739955,313.266,63.119,0.771
2.751565,313.365,63.124,0.750
2.763175,154.513,50.883,0.740
2.774785,155.301,50.971,0.732
2.786395,155.332,50.974,0.728
2.798005,155.614,51.006,0.723
2.809615,155.482,50.991,0.708
2.821224,155.147,50.954,0.694
2.832834,155.353,50.977,0.668
2.844444,156.043,51.053,0.642
2.856054,155.720,51.017,0.607
2.867664,155.845,51.031,0.570
2.879274,155.684,51.013,0.541
2.890884,315.238,63.227,0.494
2.902494,103.816,43.998,0.438
2.914104,315.891,63.263,0.425
2.925714,314.541,63.189,0.431
2.937324,315.803,63.258,0.437
2.948934,315.659,63.250,0.448
2.960544,315.471,63.240,0.459
2.972154,103.573,43.958,0.470
2.983764,155.910,51.039,0.484
2.995374,155.686,51.014,0.494
3.006984,451.200,69.435,0.506
3.018594,452.810,69.497,0.516
3.030204,452.922,69.501,0.529
3.041814,452.383,69.480,0.545
3.053424,453.179,69.511,0.555
3.065034,88.117,41.160,0.564
3.076644,451.613,69.451,0.571
3.088254,98.737,43.130,0.580
3.099864,142.383,49.467,0.578
3.111474,153.814,50.804,0.574
3.123084,154.167,50.844,0.564
3.134694,153.932,50.818,0.546
3.146304,154.180,50.845,0.527
3.157914,153.591,50.779,0.496
3.169524,153.731,50.795,0.458
3.181134,154.301,50.859,0.396
3.192744,103.466,43.940,0.351
3.204354,103.652,43.971,0.278
3.215964,153.266,50.742,0.224
3.227574,285.375,61.504,0.616
3.239184,1002.273,83.252,0.678
3.250794,1002.273,83.252,0.752
3.262404,1002.273,83.252,0.792
3.274014,323.433,63.672,0.813
3.285624,322.070,63.598,0.834
3.297234,320.303,63.503,0.855
3.308844,318.614,63.412,0.872
3.320454,316.774,63.311,0.869
3.332063,316.272,63.284,0.869
3.343673,314.748,63.200,0.858
3.355283,312.194,63.059,0.847
3.366893,311.035,62.995,0.843
3.378503,310.374,62.958,0.838
3.390113,310.283,62.953,0.829
3.401723,310.495,62.965,0.820
3.413333,311.033,62.995,0.815
3.424943,311.450,63.018,0.812
3.436553,311.658,63.030,0.807
3.448163,311.487,63.020,0.804
3.459773,311.338,63.012,0.795
3.471383,311.233,63.006,0.777
3.482993,311.300,63.010,0.759
3.494603,311.606,63.027,0.737
3.506213,311.532,63.023,0.709
3.517823,311.579,63.025,0.681
3.529433,312.190,63.059,0.643
3.541043,309.919,62.933,0.596
3.552653,304.263,62.614,0.559
3.564263,103.777,43.992,0.527
3.575873,102.695,43.810,0.499
3.587483,103.093,43.877,0.466
3.599093,104.059,44.039,0.427
3.610703,312.665,63.085,0.362
3.622313,102.719,43.814,0.301
3.633923,310.253,62.951,0.268
3.645533,310.960,62.991,0.253
3.657143,308.493,62.853,0.231
3.668753,309.031,62.883,0.219
3.680363,309.983,62.936,0.211
3.691973,310.808,62.982,0.212
3.703583,311.285,63.009,0.211
3.715193,311.254,63.007,0.209
3.726803,311.309,63.010,0.216
3.738413,1002.273,83.252,0.572
3.750023,1002.273,83.252,0.707
3.761633,322.013,63.595,0.800
3.773243,322.191,63.605,0.832
3.784853,322.071,63.598,0.849
3.796463,321.638,63.575,0.863
3.808073,321.012,63.542,0.876
3.819683,320.423,63.510,0.889
3.831293,319.354,63.452,0.894
3.842902,317.794,63.367,0.889
3.854512,314.541,63.189,0.869
3.866122,311.526,63.022,0.858
3.877732,309.998,62.937,0.855
3.889342,309.635,62.917,0.854
3.900952,309.496,62.909,0.849
3.912562,309.617,62.916,0.842
3.924172,310.150,62.946,0.831
3.935782,310.665,62.974,0.820
3.947392,311.483,63.020,0.816
3.959002,312.012,63.049,0.817
3.970612,312.609,63.082,0.815
3.982222,313.092,63.109,0.806
3.993832,313.648,63.140,0.795
4.005442,314.386,63.180,0.779
4.017052,314.736,63.200,0.762
4.028662,315.045,63.217,0.738
4.040272,315.776,63.257,0.695
4.051882,317.355,63.343,0.640
4.063492,318.535,63.407,0.555
4.075102,320.595,63.519,0.429
4.086712,320.283,63.502,0.314
4.098322,319.389,63.454,0.262
4.109932,316.864,63.316,0.214
4.121542,313.392,63.126,0.171
4.133152,312.407,63.071,0.158
4.144762,310.961,62.991,0.145
4.156372,310.217,62.949,0.131
4.167982,311.093,62.998,0.123
4.179592,311.760,63.035,0.146
4.191202,311.732,63.034,0.160
4.202812,311.826,63.039,0.172
4.214422,312.204,63.060,0.184
4.226032,312.425,63.072,0.195
4.237642,312.818,63.094,0.208
4.249252,319.941,63.484,0.303
4.260862,975.367,82.781,0.782
4.272472,317.218,63.336,0.841
4.284082,316.975,63.322,0.856
4.295692,316.438,63.293,0.870
4.307302,315.919,63.265,0.880
4.318912,315.557,63.245,0.886
4.330522,315.243,63.228,0.891
4.342132,314.936,63.211,0.894
4.353741,314.037,63.161,0.837
4.365351,311.600,63.026,0.787
4.376961,310.843,62.984,0.774
4.388571,310.676,62.975,0.756
4.400181,311.520,63.022,0.737
4.411791,312.816,63.094,0.732
4.423401,314.266,63.174,0.736
4.435011,315.398,63.236,0.743
4.446621,156.548,51.109,0.750
4.458231,156.468,51.100,0.749
4.469841,80.721,39.642,0.748
4.481451,80.678,39.633,0.755
4.493061,80.509,39.597,0.769
4.504671,798.195,79.311,0.771
4.516281,796.651,79.277,0.772
4.527891,85.670,40.672,0.774
4.539501,85.671,40.672,0.772
4.551111,85.785,40.695,0.784
4.562721,352.291,65.151,0.814
4.574331,353.648,65.218,0.821
4.585941,353.825,65.226,0.827
4.597551,351.904,65.132,0.838
4.609161,350.518,65.064,0.843
4.620771,348.867,64.982,0.845
4.632381,348.897,64.984,0.849
