time_sec,f0_hz,midi,confidence
0.000000,930.298,81.962,0.488
0.011610,927.847,81.917,0.499
0.023220,925.822,81.879,0.511
0.034830,926.536,81.892,0.517
0.046440,927.306,81.907,0.522
0.058050,915.307,81.681,0.458
0.069660,910.865,81.597,0.437
0.081270,923.207,81.830,0.411
0.092880,923.062,81.827,0.387
0.104490,934.693,82.044,0.365
0.116100,944.248,82.220,0.328
0.127710,944.442,82.224,0.309
0.139320,944.617,82.227,0.289
0.150930,955.440,82.424,0.271
0.162540,961.754,82.538,0.260
0.174150,959.918,82.505,0.241
0.185760,965.879,82.612,0.226
0.197370,962.977,82.560,0.208
0.208980,965.099,82.598,0.192
0.220590,973.509,82.748,0.170
0.232200,976.332,82.798,0.146
0.243810,977.188,82.814,0.117
0.255420,977.016,82.811,0.091
0.267029,1002.273,83.252,0.046
0.278639,,,0.000
0.290249,,,0.000
0.301859,,,0.000
0.313469,,,0.000
0.325079,,,0.000
0.336689,,,0.000
0.348299,,,0.000
0.359909,,,0.000
0.371519,,,0.000
0.383129,,,0.000
0.394739,,,0.000
0.406349,835.075,80.093,0.068
0.417959,93.051,42.103,0.200
0.429569,446.838,69.267,0.330
0.441179,241.864,58.640,0.411
0.452789,241.473,58.612,0.463
0.464399,223.794,57.296,0.529
0.476009,223.016,57.236,0.583
0.487619,221.766,57.138,0.637
0.499229,220.189,57.015,0.673
0.510839,219.134,56.932,0.701
0.522449,218.614,56.891,0.724
0.534059,218.761,56.902,0.747
0.545669,219.226,56.939,0.770
0.557279,218.641,56.893,0.782
0.568889,217.955,56.838,0.789
0.580499,217.225,56.780,0.791
0.592109,216.760,56.743,0.790
0.603719,967.731,82.645,0.787
0.615329,965.759,82.610,0.779
0.626939,961.616,82.535,0.767
0.638549,212.680,56.414,0.749
0.650159,950.941,82.342,0.739
0.661769,951.586,82.354,0.737
0.673379,953.275,82.385,0.732
0.684989,952.522,82.371,0.728
0.696599,952.620,82.373,0.720
0.708209,950.057,82.326,0.718
0.719819,947.227,82.274,0.710
0.731429,944.084,82.217,0.704
0.743039,937.766,82.101,0.685
0.754649,931.625,81.987,0.652
0.766259,919.365,81.758,0.619
0.777868,908.193,81.546,0.585
0.789478,896.055,81.313,0.562
0.801088,887.453,81.146,0.525
0.812698,883.839,81.075,0.502
0.824308,874.979,80.901,0.472
0.835918,863.613,80.675,0.453
