time_sec,f0_hz,midi,confidence
0.000000,921.087,81.790,0.573
0.011610,907.557,81.534,0.600
0.023220,907.372,81.530,0.610
0.034830,907.334,81.530,0.621
0.046440,908.673,81.555,0.632
0.058050,905.667,81.498,0.616
0.069660,906.612,81.516,0.597
0.081270,905.260,81.490,0.581
0.092880,907.275,81.528,0.576
0.104490,913.011,81.638,0.559
0.116100,911.063,81.601,0.556
0.127710,909.366,81.568,0.556
0.139320,905.552,81.496,0.547
0.150930,901.935,81.426,0.551
0.162540,892.878,81.252,0.545
0.174150,900.081,81.391,0.551
0.185760,847.042,80.339,0.555
0.197370,831.654,80.022,0.551
0.208980,830.848,80.005,0.546
0.220590,831.917,80.027,0.536
0.232200,842.405,80.244,0.528
0.243810,848.470,80.368,0.504
0.255420,852.017,80.441,0.486
0.267029,86.029,40.745,0.453
0.278639,86.043,40.748,0.398
0.290249,319.754,63.474,0.434
0.301859,324.882,63.749,0.501
0.313469,90.870,41.692,0.551
0.325079,89.903,41.507,0.583
0.336689,721.757,77.568,0.622
0.348299,732.632,77.827,0.632
0.359909,730.476,77.776,0.712
0.371519,733.438,77.846,0.729
0.383129,730.734,77.782,0.751
0.394739,728.877,77.738,0.757
0.406349,727.318,77.701,0.773
0.417959,733.942,77.858,0.781
0.429569,737.519,77.942,0.796
0.441179,749.948,78.231,0.812
0.452789,771.303,78.718,0.807
0.464399,772.274,78.739,0.815
0.476009,318.389,63.399,0.817
0.487619,320.690,63.524,0.824
0.499229,321.286,63.556,0.820
0.510839,320.392,63.508,0.814
0.522449,322.743,63.635,0.795
0.534059,326.431,63.831,0.773
0.545669,330.709,64.057,0.742
0.557279,332.257,64.138,0.726
0.568889,337.640,64.416,0.734
0.580499,351.690,65.122,0.740
0.592109,367.859,65.900,0.747
0.603719,369.671,65.985,0.760
0.615329,370.442,66.021,0.781
0.626939,370.692,66.033,0.799
0.638549,371.531,66.072,0.813
0.650159,371.838,66.086,0.821
0.661769,372.059,66.096,0.815
0.673379,372.435,66.114,0.810
0.684989,374.042,66.188,0.813
0.696599,383.498,66.621,0.819
0.708209,388.156,66.830,0.821
0.719819,394.449,67.108,0.825
0.731429,400.314,67.364,0.828
0.743039,405.887,67.603,0.826
0.754649,408.827,67.728,0.824
0.766259,410.710,67.807,0.813
0.777868,413.090,67.907,0.795
0.789478,414.425,67.963,0.770
0.801088,415.298,68.000,0.741
0.812698,415.655,68.015,0.703
0.824308,415.130,67.993,0.650
0.835918,413.476,67.924,0.579
0.847528,393.557,67.069,0.469
0.859138,377.065,66.328,0.385
0.870748,379.647,66.446,0.358
0.882358,393.420,67.063,0.393
0.893968,393.055,67.047,0.488
0.905578,409.378,67.751,0.633
0.917188,410.536,67.800,0.702
0.928798,414.797,67.979,0.745
0.940408,416.978,68.070,0.775
0.952018,416.885,68.066,0.798
0.963628,416.148,68.035,0.817
0.975238,415.606,68.013,0.833
0.986848,415.360,68.002,0.844
0.998458,415.356,68.002,0.841
1.010068,415.179,67.995,0.837
1.021678,414.638,67.972,0.834
1.033288,414.186,67.953,0.830
1.044898,414.058,67.948,0.828
1.056508,414.384,67.962,0.825
1.068118,414.895,67.983,0.823
1.079728,415.177,67.995,0.821
1.091338,415.416,68.005,0.821
1.102948,415.563,68.011,0.819
1.114558,415.697,68.016,0.819
1.126168,415.758,68.019,0.819
1.137778,415.782,68.020,0.818
1.149388,415.810,68.021,0.819
1.160998,415.782,68.020,0.819
1.172608,415.794,68.020,0.816
1.184218,415.800,68.021,0.813
1.195828,415.655,68.015,0.811
1.207438,415.532,68.009,0.809
1.219048,415.452,68.006,0.808
1.230658,415.374,68.003,0.807
1.242268,414.951,67.985,0.806
1.253878,413.756,67.935,0.805
1.265488,411.305,67.832,0.808
1.277098,408.084,67.696,0.809
1.288707,404.314,67.536,0.809
1.300317,396.558,67.200,0.810
1.311927,390.511,66.934,0.810
1.323537,384.707,66.675,0.807
1.335147,376.604,66.307,0.802
1.346757,374.538,66.211,0.795
1.358367,372.981,66.139,0.779
1.369977,372.591,66.121,0.764
1.381587,372.608,66.122,0.750
1.393197,372.666,66.125,0.726
1.404807,372.594,66.121,0.694
1.416417,372.361,66.110,0.661
1.428027,372.140,66.100,0.627
1.439637,372.529,66.118,0.589
1.451247,373.497,66.163,0.575
1.462857,375.808,66.270,0.562
1.474467,377.726,66.358,0.542
1.486077,379.989,66.461,0.540
1.497687,320.874,63.534,0.547
1.509297,320.990,63.540,0.554
1.520907,964.676,82.590,0.558
1.532517,951.742,82.357,0.553
1.544127,956.157,82.437,0.546
1.555737,959.089,82.490,0.540
1.567347,966.224,82.618,0.524
1.578957,1002.273,83.252,0.504
1.590567,1002.273,83.252,0.490
1.602177,1002.273,83.252,0.469
1.613787,1002.273,83.252,0.440
