time_sec,f0_hz,midi,confidence
0.000000,,,0.000
0.011610,,,0.000
0.023220,,,0.000
0.034830,,,0.000
0.046440,,,0.000
0.058050,,,0.000
0.069660,,,0.000
0.081270,,,0.000
0.092880,,,0.000
0.104490,,,0.000
0.116100,,,0.000
0.127710,,,0.000
0.139320,,,0.000
0.150930,,,0.000
0.162540,,,0.000
0.174150,,,0.000
0.185760,,,0.000
0.197370,,,0.000
0.208980,,,0.000
0.220590,,,0.000
0.232200,,,0.000
0.243810,,,0.000
0.255420,,,0.000
0.267029,,,0.000
0.278639,,,0.000
0.290249,,,0.000
0.301859,,,0.000
0.313469,,,0.000
0.325079,,,0.000
0.336689,154.739,50.908,0.187
0.348299,154.502,50.881,0.279
0.359909,155.029,50.940,0.345
0.371519,142.836,49.522,0.408
0.383129,173.504,52.890,0.440
0.394739,173.478,52.887,0.470
0.406349,173.615,52.901,0.511
0.417959,174.108,52.950,0.536
0.429569,174.313,52.970,0.553
0.441179,174.474,52.986,0.558
0.452789,174.586,52.997,0.562
0.464399,174.616,53.000,0.560
0.476009,174.663,53.005,0.559
0.487619,174.718,53.010,0.556
0.499229,174.843,53.023,0.538
0.510839,140.330,49.216,0.523
0.522449,140.384,49.223,0.505
0.534059,140.437,49.229,0.495
0.545669,140.458,49.232,0.484
0.557279,174.692,53.008,0.471
0.568889,140.575,49.246,0.462
0.580499,140.698,49.261,0.453
0.592109,155.831,51.030,0.446
0.603719,155.870,51.034,0.440
0.615329,155.927,51.040,0.430
0.626939,155.984,51.047,0.427
0.638549,155.995,51.048,0.419
0.650159,155.907,51.038,0.414
0.661769,155.887,51.036,0.410
0.673379,155.890,51.036,0.405
0.684989,155.751,51.021,0.403
0.696599,155.635,51.008,0.399
0.708209,155.628,51.007,0.399
0.719819,155.717,51.017,0.397
0.731429,155.775,51.023,0.394
0.743039,155.771,51.023,0.394
0.754649,155.772,51.023,0.389
0.766259,155.762,51.022,0.387
0.777868,155.767,51.023,0.381
0.789478,155.726,51.018,0.377
0.801088,156.000,51.048,0.418
0.812698,79.891,39.463,0.451
0.824308,79.891,39.463,0.471
0.835918,79.891,39.463,0.485
0.847528,79.891,39.463,0.497
0.859138,231.899,57.912,0.516
0.870748,232.072,57.925,0.526
0.882358,79.891,39.463,0.534
0.893968,79.891,39.463,0.528
0.905578,79.891,39.463,0.522
0.917188,79.891,39.463,0.522
0.928798,79.891,39.463,0.522
0.940408,79.891,39.463,0.523
0.952018,79.891,39.463,0.515
0.963628,79.891,39.463,0.513
0.975238,79.891,39.463,0.513
0.986848,232.981,57.992,0.511
0.998458,79.891,39.463,0.504
1.010068,79.891,39.463,0.498
1.021678,79.891,39.463,0.492
1.033288,79.891,39.463,0.483
1.044898,79.891,39.463,0.478
1.056508,79.891,39.463,0.472
1.068118,79.891,39.463,0.464
1.079728,79.891,39.463,0.458
1.091338,79.891,39.463,0.453
1.102948,79.891,39.463,0.446
1.114558,79.891,39.463,0.436
1.126168,79.891,39.463,0.430
1.137778,79.891,39.463,0.422
1.149388,79.891,39.463,0.413
1.160998,79.891,39.463,0.407
1.172608,79.891,39.463,0.397
1.184218,79.891,39.463,0.390
1.195828,79.891,39.463,0.386
1.207438,79.891,39.463,0.385
1.219048,79.891,39.463,0.380
1.230658,79.891,39.463,0.374
1.242268,79.891,39.463,0.374
1.253878,116.857,46.047,0.384
1.265488,116.900,46.053,0.391
1.277098,116.890,46.052,0.403
1.288707,116.909,46.055,0.406
1.300317,116.867,46.048,0.409
1.311927,116.866,46.048,0.411
1.323537,116.806,46.039,0.416
1.335147,116.923,46.057,0.415
1.346757,116.851,46.046,0.403
1.358367,116.657,46.017,0.393
1.369977,116.760,46.032,0.374
1.381587,116.709,46.025,0.364
1.393197,116.648,46.016,0.350
1.404807,116.599,46.009,0.347
1.416417,116.784,46.036,0.336
1.428027,116.769,46.034,0.333
1.439637,116.782,46.036,0.332
1.451247,116.760,46.033,0.329
1.462857,116.840,46.044,0.327
1.474467,116.917,46.056,0.323
1.486077,116.788,46.037,0.323
1.497687,116.903,46.054,0.315
1.509297,116.795,46.038,0.317
1.520907,116.993,46.067,0.314
1.532517,116.829,46.043,0.315
1.544127,116.899,46.053,0.315
1.555737,116.884,46.051,0.316
1.567347,116.877,46.050,0.320
1.578957,116.814,46.041,0.318
1.590567,116.793,46.037,0.319
1.602177,116.804,46.039,0.318
1.613787,116.792,46.037,0.317
1.625397,116.744,46.030,0.312
1.637007,116.793,46.037,0.307
1.648617,456.276,69.629,0.402
1.660227,463.731,69.909,0.470
1.671837,311.660,63.030,0.514
1.683447,311.612,63.027,0.540
1.695057,186.707,54.159,0.558
1.706667,186.830,54.171,0.570
1.718277,186.870,54.174,0.582
1.729887,186.903,54.177,0.590
1.741497,187.129,54.198,0.584
1.753107,187.187,54.204,0.568
1.764717,187.190,54.204,0.552
1.776327,187.182,54.203,0.536
1.787937,187.134,54.199,0.525
1.799546,187.116,54.197,0.513
1.811156,187.120,54.198,0.500
1.822766,187.106,54.196,0.489
1.834376,187.067,54.193,0.475
1.845986,187.049,54.191,0.462
1.857596,187.050,54.191,0.448
1.869206,187.047,54.191,0.436
1.880816,187.014,54.188,0.421
1.892426,186.993,54.186,0.412
1.904036,187.090,54.195,0.403
1.915646,187.057,54.192,0.400
1.927256,187.117,54.197,0.390
1.938866,187.218,54.207,0.385
1.950476,187.337,54.218,0.373
1.962086,187.391,54.223,0.367
1.973696,187.407,54.224,0.356
1.985306,187.591,54.241,0.349
1.996916,187.490,54.232,0.338
2.008526,187.642,54.246,0.328
2.020136,187.435,54.227,0.321
2.031746,187.420,54.225,0.316
2.043356,187.339,54.218,0.313
2.054966,187.462,54.229,0.314
2.066576,187.436,54.227,0.306
2.078186,187.500,54.233,0.307
2.089796,187.512,54.234,0.300
2.101406,187.354,54.219,0.301
2.113016,187.491,54.232,0.289
2.124626,187.495,54.232,0.290
2.136236,187.564,54.239,0.277
2.147846,187.332,54.217,0.277
2.159456,186.922,54.179,0.267
2.171066,186.752,54.163,0.263
2.182676,186.460,54.136,0.257
2.194286,186.621,54.151,0.252
2.205896,185.984,54.092,0.251
2.217506,186.174,54.110,0.249
2.229116,185.287,54.027,0.251
2.240726,185.850,54.080,0.245
2.252336,185.320,54.030,0.246
2.263946,185.782,54.073,0.239
2.275556,186.209,54.113,0.242
2.287166,186.428,54.133,0.240
2.298776,186.559,54.146,0.235
2.310385,186.417,54.132,0.230
2.321995,186.719,54.160,0.225
2.333605,186.545,54.144,0.220
2.345215,186.892,54.176,0.219
2.356825,186.747,54.163,0.220
2.368435,187.185,54.204,0.215
2.380045,186.744,54.163,0.217
2.391655,186.282,54.120,0.219
2.403265,186.606,54.150,0.216
2.414875,117.414,46.129,0.221
2.426485,117.829,46.190,0.214
2.438095,117.472,46.138,0.218
2.449705,117.867,46.196,0.210
2.461315,117.352,46.120,0.212
2.472925,118.006,46.216,0.201
2.484535,117.499,46.142,0.206
2.496145,117.815,46.188,0.195
2.507755,116.984,46.066,0.199
2.519365,117.133,46.088,0.201
2.530975,117.028,46.072,0.197
2.542585,117.028,46.072,0.203
2.554195,116.886,46.051,0.200
2.565805,116.926,46.057,0.203
2.577415,116.858,46.047,0.200
2.589025,116.992,46.067,0.203
2.600635,116.954,46.061,0.195
2.612245,117.146,46.090,0.196
2.623855,116.979,46.065,0.195
2.635465,117.283,46.110,0.189
2.647075,116.979,46.065,0.191
2.658685,117.395,46.126,0.180
2.670295,116.977,46.065,0.181
2.681905,117.281,46.110,0.172
2.693515,116.787,46.036,0.175
2.705125,117.043,46.074,0.165
2.716735,116.623,46.012,0.204
2.728345,117.245,46.104,0.205
2.739955,318.221,63.390,0.206
2.751565,317.979,63.377,0.206
2.763175,317.508,63.351,0.201
2.774785,317.650,63.359,0.205
2.786395,317.753,63.365,0.258
2.798005,318.289,63.394,0.272
2.809615,337.738,64.421,0.305
2.821224,328.899,63.962,0.317
2.832834,330.635,64.053,0.341
2.844444,320.137,63.494,0.367
2.856054,308.601,62.859,0.386
2.867664,84.795,40.494,0.402
2.879274,84.838,40.503,0.424
2.890884,84.996,40.536,0.436
2.902494,84.957,40.528,0.440
2.914104,237.981,58.360,0.463
2.925714,83.633,40.256,0.456
2.937324,116.386,45.977,0.446
2.948934,115.545,45.851,0.456
2.960544,229.060,57.699,0.504
2.972154,230.780,57.828,0.542
2.983764,231.417,57.876,0.579
2.995374,231.238,57.862,0.608
3.006984,231.396,57.874,0.623
3.018594,231.394,57.874,0.640
3.030204,231.471,57.880,0.657
3.041814,231.918,57.913,0.668
3.053424,232.509,57.957,0.669
3.065034,232.523,57.958,0.667
3.076644,232.594,57.964,0.664
3.088254,232.866,57.984,0.656
3.099864,232.825,57.981,0.654
3.111474,232.712,57.973,0.654
3.123084,232.772,57.977,0.651
3.134694,232.616,57.965,0.646
3.146304,232.502,57.957,0.644
3.157914,232.584,57.963,0.641
3.169524,232.736,57.974,0.632
3.181134,232.811,57.980,0.620
3.192744,233.037,57.997,0.607
3.204354,235.128,58.151,0.603
3.215964,240.115,58.515,0.603
3.227574,246.985,59.003,0.610
3.239184,254.180,59.500,0.615
3.250794,258.727,59.807,0.616
3.262404,261.269,59.976,0.625
3.274014,262.440,60.054,0.640
3.285624,263.108,60.098,0.651
3.297234,263.293,60.110,0.656
3.308844,263.241,60.107,0.657
3.320454,263.072,60.095,0.652
3.332063,262.341,60.047,0.651
3.343673,261.468,59.990,0.650
3.355283,260.989,59.958,0.644
3.366893,260.551,59.929,0.639
3.378503,259.793,59.878,0.628
3.390113,259.211,59.839,0.607
3.401723,258.125,59.767,0.588
3.413333,258.504,59.792,0.582
3.424943,261.665,60.003,0.573
3.436553,268.484,60.448,0.572
3.448163,279.309,61.132,0.578
3.459773,148.030,50.141,0.578
3.471383,148.115,50.151,0.592
3.482993,147.818,50.116,0.608
3.494603,147.434,50.071,0.623
3.506213,294.293,62.037,0.627
3.517823,294.401,62.043,0.627
3.529433,293.975,62.018,0.626
3.541043,293.060,61.964,0.623
3.552653,292.750,61.946,0.620
3.564263,292.186,61.913,0.615
3.575873,291.999,61.902,0.612
3.587483,292.294,61.919,0.602
3.599093,292.096,61.907,0.586
3.610703,292.175,61.912,0.568
3.622313,292.548,61.934,0.541
3.633923,294.308,62.038,0.532
3.645533,294.451,62.046,0.536
3.657143,294.986,62.078,0.540
3.668753,295.133,62.086,0.548
3.680363,294.519,62.050,0.558
3.691973,294.887,62.072,0.579
3.703583,294.858,62.070,0.597
3.715193,294.726,62.062,0.611
3.726803,294.713,62.062,0.615
3.738413,293.986,62.019,0.613
3.750023,294.031,62.022,0.610
3.761633,293.560,61.994,0.607
3.773243,293.708,62.003,0.604
3.784853,293.703,62.002,0.603
3.796463,289.499,61.753,0.615
3.808073,99.160,43.204,0.653
3.819683,99.710,43.300,0.678
3.831293,99.830,43.320,0.702
3.842902,99.859,43.325,0.724
3.854512,99.868,43.327,0.748
3.866122,99.856,43.325,0.767
3.877732,99.848,43.324,0.783
3.889342,99.858,43.325,0.798
3.900952,99.709,43.299,0.803
3.912562,99.574,43.276,0.805
3.924172,99.478,43.259,0.808
3.935782,99.356,43.238,0.812
3.947392,99.304,43.229,0.809
3.959002,99.319,43.232,0.806
3.970612,99.329,43.233,0.806
3.982222,99.238,43.218,0.801
3.993832,99.218,43.214,0.794
4.005442,99.198,43.211,0.790
4.017052,99.186,43.209,0.788
4.028662,99.074,43.189,0.779
4.040272,99.051,43.185,0.774
4.051882,99.112,43.195,0.770
4.063492,99.096,43.193,0.764
4.075102,98.921,43.162,0.756
4.086712,98.892,43.157,0.753
4.098322,98.937,43.165,0.751
4.109932,98.927,43.163,0.749
4.121542,98.640,43.113,0.747
4.133152,98.295,43.052,0.744
4.144762,98.398,43.070,0.744
4.156372,98.249,43.044,0.743
4.167982,98.131,43.023,0.741
4.179592,98.054,43.010,0.740
4.191202,98.128,43.023,0.738
4.202812,98.098,43.018,0.734
4.214422,97.963,42.994,0.729
4.226032,98.313,43.055,0.729
4.237642,97.764,42.958,0.728
4.249252,98.420,43.074,0.724
4.260862,97.690,42.945,0.730
4.272472,98.750,43.132,0.725
4.284082,98.661,43.117,0.733
4.295692,98.106,43.019,0.728
4.307302,99.197,43.210,0.732
4.318912,99.077,43.189,0.727
4.330522,99.122,43.197,0.724
4.342132,99.136,43.200,0.726
4.353741,98.886,43.156,0.712
4.365351,99.286,43.226,0.722
4.376961,98.412,43.073,0.705
4.388571,98.938,43.165,0.710
4.400181,99.025,43.180,0.699
4.411791,99.416,43.249,0.702
4.423401,98.998,43.176,0.699
4.435011,99.210,43.213,0.686
4.446621,99.777,43.311,0.696
4.458231,99.805,43.316,0.679
4.469841,100.541,43.443,0.687
4.481451,99.554,43.273,0.674
4.493061,100.691,43.469,0.681
4.504671,98.499,43.088,0.677
4.516281,99.408,43.247,0.666
4.527891,100.415,43.422,0.676
4.539501,100.449,43.428,0.659
4.551111,106.357,44.417,0.671
4.562721,99.580,43.277,0.657
4.574331,107.837,44.656,0.664
4.585941,107.472,44.598,0.658
4.597551,107.243,44.560,0.650
4.609161,108.021,44.686,0.658
4.620771,106.967,44.516,0.643
4.632381,108.849,44.818,0.656
4.643991,98.700,43.123,0.638
4.655601,108.093,44.697,0.649
4.667211,108.667,44.789,0.652
4.678821,109.129,44.862,0.654
4.690431,109.177,44.870,0.662
4.702041,109.288,44.888,0.656
4.713651,109.419,44.908,0.671
4.725261,108.883,44.823,0.663
4.736871,109.255,44.882,0.671
4.748481,109.173,44.869,0.667
4.760091,109.263,44.884,0.657
