time_sec,f0_hz,midi,confidence
0.000000,315.985,63.268,0.171
0.011610,894.017,81.274,0.185
0.023220,889.173,81.180,0.196
0.034830,887.504,81.147,0.205
0.046440,886.466,81.127,0.213
0.058050,871.392,80.830,0.197
0.069660,857.043,80.542,0.163
0.081270,859.573,80.593,0.142
0.092880,867.112,80.745,0.124
0.104490,867.580,80.754,0.111
0.116100,868.279,80.768,0.104
0.127710,866.520,80.733,0.092
0.139320,861.379,80.630,0.080
0.150930,860.087,80.604,0.071
0.162540,866.664,80.736,0.073
0.174150,868.519,80.773,0.064
0.185760,864.384,80.690,0.057
0.197370,851.129,80.422,0.056
0.208980,852.670,80.454,0.049
0.220590,852.448,80.449,0.051
0.232200,848.782,80.375,0.063
0.243810,849.573,80.391,0.060
0.255420,845.085,80.299,0.053
0.267029,853.423,80.469,0.055
0.278639,861.816,80.639,0.054
0.290249,860.209,80.606,0.052
0.301859,865.199,80.706,0.050
0.313469,866.527,80.733,0.049
0.325079,873.831,80.878,0.027
0.336689,873.733,80.876,0.023
0.348299,868.496,80.772,0.018
0.359909,856.625,80.534,0.006
0.371519,,,0.000
0.383129,,,0.000
0.394739,,,0.000
0.406349,,,0.000
0.417959,,,0.000
0.429569,,,0.000
0.441179,,,0.000
0.452789,,,0.000
0.464399,,,0.000
0.476009,,,0.000
0.487619,,,0.000
0.499229,,,0.000
0.510839,,,0.000
0.522449,134.013,48.418,0.053
0.534059,133.609,48.366,0.114
0.545669,131.058,48.032,0.134
0.557279,130.094,47.905,0.136
0.568889,130.384,47.943,0.137
0.580499,798.900,79.326,0.429
0.592109,793.621,79.211,0.469
0.603719,786.522,79.056,0.493
0.615329,139.047,49.057,0.576
0.626939,139.792,49.149,0.652
0.638549,139.843,49.156,0.679
0.650159,142.327,49.460,0.713
0.661769,149.867,50.354,0.739
0.673379,153.318,50.748,0.754
0.684989,154.351,50.865,0.772
0.696599,155.288,50.969,0.789
0.708209,160.593,51.551,0.797
0.719819,162.414,51.746,0.799
0.731429,163.242,51.834,0.805
0.743039,163.899,51.904,0.807
0.754649,164.066,51.921,0.808
0.766259,164.242,51.940,0.805
0.777868,164.343,51.951,0.799
0.789478,164.280,51.944,0.793
0.801088,164.157,51.931,0.784
0.812698,164.100,51.925,0.771
